case_id,work_date,work_order,process,item_code,actual_quantity,defect_quantity
case-01,2026-09-01,WO-260901-001,PRESS,PRS-100-A,1200,2
case-02,2026-09-02,WO-260902-014,WELD,WLD-210-B,780,0
case-03,2026-09-03,WO-260903-021,PRESS,PRS-330-C,945,5
case-04,2026-09-04,WO-260904-008,WELD,WLD-450-A,660,1
case-05,2026-09-05,WO-260905-019,PRESS,PRS-520-D,1500,3
case-06,2026-09-06,WO-260906-004,WELD,WLD-110-A,1000,1
case-07,2026-09-07,WO-260907-011,PRESS,PRS-240-B,840,1
case-08,2026-09-08,WO-260908-009,WELD,WLD-310-C,700,0
case-09,2026-09-09,WO-260909-016,PRESS,PRS-710-A,1110,4
case-10,2026-09-09,WO-260910-003,PRESS,WLD-800-B,530,2
